STRINGS;en;de
_addSharedPagePart;Add shared page part;Geteilten Seitenabschnitt hinzufügen
_newPagePart;New page part;Neuer Seitenabschnitt
_orphanedParts;Orphanded Page Parts;Verwaiste Seitenabschnitte
_pagePart;Page Part;Seitenabschnitt
_pageParts;Page Parts;Seitenabschnitte
_pagePartAdded;Page part added;Seitenabschnitt hinzugefügt
_pagePartDeleted;Page Part has been deleted;Seitenabschnitt wurde gelöscht
_pagePartSettings;Page part settings;Seitenabschnitt-Einstellungen
_pagePartSettingsSaved;Page part settings saved;Seitenabschnitt-Einstellungen gespeichert
_pagePartShared;Page part shared;Seitenabschnitt geteilt
_pagePartsDeleted;Page Parts have been deleted;Seitenabschnitte wurden gelöscht
_pageTemplate;Page Template;Seiten-Vorlage
_pageTemplates;Page Templates;Seiten-Vorlagen
_partAdministration;Page Parts;Seitenabschnitte
_partTemplates;Part Templates;Seitenabschnitt-Vorlagen
_sectionTypes;Section types;Abschnitts-Typen
_sharePagePart;Share Page part;Share Page part
_sharedPart;Shared Part;Geteilter Seitenabschnitt
_sharedParts;Shared Parts;Geteilte Seitenabschnitte
